round,loss
1,1.3064759748458863
2,1.1234608596801758
3,1.3526289306640624
4,1.4285546745300293
5,1.620333595085144
6,1.439567383003235
7,1.709429660987854
8,1.9306311067581177
9,1.955618952178955
10,1.9051879432678223
