round,client,mse
2,2,0.47595056891441345
2,3,0.2845395803451538
2,1,0.5894603133201599
2,5,0.5297848582267761
2,9,0.8334824442863464
3,9,0.4108319580554962
3,1,0.9560379981994629
3,3,0.5613511204719543
3,2,0.42632898688316345
3,6,0.9763190150260925
4,4,0.9552242159843445
4,2,0.4272444546222687
4,1,0.30272597074508667
4,5,0.3077690303325653
4,2,0.6490487456321716
5,2,0.5747196078300476
5,7,0.9817594885826111
5,5,0.4965081214904785
5,9,0.3667167127132416
5,1,0.8416695594787598
6,2,0.41327759623527527
6,5,0.4263662099838257
6,9,0.5777588486671448
6,3,0.48656603693962097
6,4,0.6244152188301086
7,2,0.33997249603271484
7,2,0.8964455723762512
7,3,0.5003711581230164
7,9,1.2416633367538452
7,5,1.8257910013198853
8,6,0.7343556880950928
8,7,0.697666347026825
8,2,0.5203514695167542
8,1,0.40590915083885193
8,5,0.29933157563209534
9,9,0.9316558241844177
9,7,0.6609520316123962
9,4,0.3974662721157074
9,3,0.8816111087799072
9,9,0.4810844361782074
10,5,0.2628991901874542
10,2,0.4837186634540558
10,4,0.3770889341831207
10,9,0.44107282161712646
10,9,0.5406705737113953
