round,client,mse
2,9,0.5165055394172668
2,5,0.44271156191825867
2,0,0.8260447382926941
2,7,0.6454094648361206
2,1,0.8781216740608215
3,7,0.9069486260414124
3,4,0.7005460262298584
3,5,0.9108853340148926
3,2,0.42453041672706604
3,9,0.7062516808509827
4,5,0.6505418419837952
4,4,0.5475416779518127
4,1,0.7364957928657532
4,5,0.5294039249420166
4,9,0.7323598265647888
5,7,0.8178671002388
5,9,0.3257109224796295
5,5,0.5784146785736084
5,0,1.0028115510940552
5,1,0.9709897041320801
6,2,0.463094562292099
6,7,0.37925589084625244
6,5,0.22227917611598969
6,0,0.613932192325592
6,1,0.8847758769989014
7,5,0.338962584733963
7,4,0.9389026165008545
7,1,0.4530256986618042
7,2,0.6795997023582458
7,9,0.597737193107605
8,5,0.519254207611084
8,1,0.34170982241630554
8,9,0.44586053490638733
8,7,0.6928867697715759
8,1,0.8977835178375244
9,5,0.7518132328987122
9,2,0.4851857125759125
9,0,0.6128450036048889
9,1,0.32819369435310364
9,4,0.4489135444164276
10,5,0.5343568325042725
10,7,0.5476529598236084
10,5,0.3403453826904297
10,9,0.4024448096752167
10,2,0.6734669804573059
