round,client,mse
2,7,0.5290303230285645
2,3,0.6623815298080444
2,5,1.2741594314575195
2,8,0.4505479037761688
2,4,0.45436033606529236
3,3,0.6361426711082458
3,7,0.41824182868003845
3,4,1.0037721395492554
3,3,1.5366743803024292
3,5,0.3986952304840088
4,4,0.48873940110206604
4,4,0.6932966709136963
4,8,0.6986166834831238
4,5,1.1081234216690063
4,5,0.7243959307670593
5,8,0.7363513112068176
5,6,0.6723679900169373
5,4,0.6456260681152344
5,3,0.4634164869785309
5,5,0.39632633328437805
6,5,0.5693888664245605
6,6,0.5782741904258728
6,5,0.27297186851501465
6,8,0.3517470359802246
6,0,0.4007713794708252
7,0,0.8451362252235413
7,8,0.3345130681991577
7,7,0.6075431704521179
7,4,0.6926755309104919
7,4,0.4295158386230469
8,3,0.24880222976207733
8,5,0.31111904978752136
8,7,0.7656391263008118
8,3,0.5794946551322937
8,6,0.2999090850353241
9,8,0.3836649954319
9,6,0.8611119389533997
9,0,0.4056053161621094
9,5,0.5908652544021606
9,3,0.6723411679267883
10,6,0.4127238690853119
10,3,1.1285299062728882
10,7,0.5562509298324585
10,3,0.3492870628833771
10,8,0.3608977496623993
