round,client,mse
2,4,0.7570074200630188
2,2,0.5464541912078857
2,3,0.8477684855461121
2,3,0.8784270882606506
2,4,0.36407673358917236
3,4,0.6108168959617615
3,2,0.4956882894039154
3,2,0.5185341835021973
3,5,0.7096476554870605
3,3,0.3841839134693146
4,0,0.6149076819419861
4,4,0.7004715800285339
4,9,0.9358705878257751
4,4,1.0659259557724
4,2,0.6205306649208069
5,4,0.3064447343349457
5,3,1.4661073684692383
5,4,0.5386729836463928
5,9,0.257173627614975
5,3,1.0709255933761597
6,5,0.8606799244880676
6,9,0.7757170796394348
6,4,0.7045251727104187
6,5,0.4092235565185547
6,3,0.7982828617095947
7,0,0.8519570231437683
7,2,0.4521617889404297
7,3,0.5616854429244995
7,3,0.5188916921615601
7,5,0.635653555393219
8,4,0.4166438579559326
8,9,1.0579746961593628
8,3,0.4267873466014862
8,3,0.8703858256340027
8,2,0.8458402752876282
9,5,0.7363591194152832
9,4,0.7436249852180481
9,2,0.8576248288154602
9,9,0.6388941407203674
9,5,0.6067118048667908
10,3,0.31245410442352295
10,5,1.1547192335128784
10,4,0.7396197319030762
10,3,0.5380908846855164
10,5,0.3954330384731293
