round,client,mse
2,6,0.847022533416748
2,3,0.7575507760047913
2,7,0.7480742335319519
2,1,0.6633126139640808
2,9,0.8674147129058838
3,3,0.3281428813934326
3,7,0.7832435965538025
3,3,0.2747809886932373
3,7,0.5048890113830566
3,6,0.6393377780914307
4,7,0.5387172698974609
4,9,0.3703170120716095
4,3,0.6454643607139587
4,0,0.35322144627571106
4,1,0.532494843006134
5,9,0.5163833498954773
5,6,0.7375417351722717
5,1,0.8553906083106995
5,7,0.26149043440818787
5,3,0.5318190455436707
6,1,0.7244765758514404
6,1,0.291121244430542
6,7,0.9580981135368347
6,3,0.5193467736244202
6,0,0.6769872307777405
7,1,0.6966034770011902
7,7,0.9949223399162292
7,9,0.5722158551216125
7,7,0.33522796630859375
7,7,0.37582913041114807
8,3,0.5580059885978699
8,3,0.9346672892570496
8,1,0.298681378364563
8,1,0.49669384956359863
8,9,0.5581826567649841
9,7,0.8779744505882263
9,7,0.7671051621437073
9,0,0.658038318157196
9,6,0.42452743649482727
9,1,0.2725122570991516
10,6,0.7243364453315735
10,7,0.5983534455299377
10,1,0.3861515522003174
10,9,0.28543415665626526
10,0,0.7434353828430176
