round,client,mse
2,9,1.0241819620132446
2,7,0.8415140509605408
2,2,0.6691468358039856
2,6,1.5941944122314453
2,8,0.8727309107780457
3,7,1.1908316612243652
3,9,0.5389509797096252
3,2,0.7725705504417419
3,6,0.47000598907470703
3,8,0.7309034466743469
4,9,0.7431699633598328
4,9,0.9534540772438049
4,2,0.7970582842826843
4,5,0.9457657933235168
4,7,0.7610190510749817
5,7,0.5123866200447083
5,6,0.2907896935939789
5,8,0.5364444851875305
5,9,0.43906068801879883
5,9,0.47463977336883545
6,6,0.3268749415874481
6,6,0.5018413066864014
6,7,1.4114470481872559
6,9,0.9386467337608337
6,9,0.46610668301582336
7,6,0.37058115005493164
7,2,0.3522152900695801
7,8,1.0502630472183228
7,6,0.33864685893058777
7,5,0.8050904273986816
8,8,0.8896492123603821
8,6,0.7231824994087219
8,7,0.544693112373352
8,9,0.8059658408164978
8,7,0.6060413718223572
9,9,0.5561497807502747
9,9,0.6971161961555481
9,9,0.6180054545402527
9,2,0.47598764300346375
9,6,0.3357282876968384
10,9,0.8878477215766907
10,6,0.7885622382164001
10,8,0.5232755541801453
10,9,0.9227272868156433
10,6,0.7492186427116394
