round,client,mse
2,4,0.6320457458496094
2,9,0.5676590800285339
2,2,0.9792714715003967
2,8,0.7660292983055115
2,6,0.6610655784606934
3,2,0.8644399642944336
3,6,0.6311984658241272
3,2,0.43367016315460205
3,8,0.7487430572509766
3,4,1.244096279144287
4,1,0.6136718988418579
4,4,1.0978662967681885
4,6,0.3784407675266266
4,9,0.9502418041229248
4,6,0.799617350101471
5,6,0.5174854397773743
5,2,0.8328034281730652
5,4,0.6271896958351135
5,1,0.9641086459159851
5,4,0.617215633392334
6,2,0.6570280194282532
6,1,0.6174246072769165
6,6,0.4541199207305908
6,4,0.7954384684562683
6,8,0.6948583722114563
7,2,0.711688220500946
7,1,0.33527302742004395
7,2,0.44119396805763245
7,9,0.7154910564422607
7,4,0.5371134281158447
8,6,0.6936138272285461
8,4,0.5443220138549805
8,6,0.7059698104858398
8,2,0.28550395369529724
8,8,0.9404121041297913
9,2,0.34410008788108826
9,6,0.7923294901847839
9,8,0.9780455231666565
9,4,0.4775257110595703
9,9,0.3720286786556244
10,9,0.29580390453338623
10,8,0.48400378227233887
10,6,0.5271602272987366
10,2,0.596652626991272
10,4,0.46767282485961914
