round,loss
1,1.7982235471725463
2,1.4043980609893798
3,1.3466782740592957
4,1.6650152904510498
5,1.9210459747314452
6,1.8759012315750123
7,1.8524493377685547
8,2.380926248550415
9,2.004128878593445
10,1.9367515389442445
