round,client,mse
2,8,0.8735017776489258
2,4,0.29448065161705017
2,4,0.41558972001075745
2,1,1.0054360628128052
2,8,0.46446385979652405
3,8,0.3990650177001953
3,1,0.3907124698162079
3,4,0.47907909750938416
3,4,0.3048817217350006
3,8,0.631959855556488
4,4,1.2859147787094116
4,4,1.9679045677185059
4,8,0.8236739039421082
4,4,0.6575779318809509
4,7,0.8310722708702087
5,4,0.6254403591156006
5,4,0.5270360708236694
5,1,1.0597459077835083
5,4,0.4298752248287201
5,4,0.5026913285255432
6,4,0.4933518171310425
6,4,0.4365306794643402
6,8,0.8778782486915588
6,4,0.5435954332351685
6,4,0.6979990005493164
7,8,0.4321995675563812
7,1,0.8683108687400818
7,8,0.6936982274055481
7,8,1.1766129732131958
7,4,0.5887346863746643
8,8,1.165676236152649
8,1,0.7541553378105164
8,4,0.5181769728660583
8,7,0.6064831614494324
8,8,0.7312770485877991
9,4,0.5458175539970398
9,8,0.911731481552124
9,8,1.1650363206863403
9,8,0.5434648990631104
9,4,1.2181096076965332
10,8,0.650102436542511
10,4,0.21943779289722443
10,4,0.39620140194892883
10,1,0.944394588470459
10,8,0.4916248619556427
