round,client,mse
2,3,0.5958532094955444
2,7,1.0980173349380493
2,7,0.714097797870636
2,9,0.7345020771026611
2,0,0.8985843658447266
3,3,0.6839516758918762
3,1,0.6205030083656311
3,7,0.6579938530921936
3,7,0.7623948454856873
3,0,0.9109062552452087
4,3,0.4556175172328949
4,1,0.7966930866241455
4,7,0.46868276596069336
4,9,1.105257272720337
4,3,0.5624632239341736
5,4,0.440439373254776
5,1,0.3265983760356903
5,3,0.9901658892631531
5,8,0.6690670847892761
5,7,0.5982310175895691
6,8,1.0639188289642334
6,1,0.3291054964065552
6,7,0.7232682704925537
6,7,0.34852707386016846
6,3,0.9017453193664551
7,0,1.0508166551589966
7,3,0.35905981063842773
7,1,0.8313851356506348
7,8,0.3900724947452545
7,9,0.5137407183647156
8,3,0.27218127250671387
8,7,0.7895304560661316
8,0,0.31484469771385193
8,7,0.45540618896484375
8,4,0.7358167767524719
9,4,0.8834927082061768
9,8,0.9326720237731934
9,3,0.28995972871780396
9,9,0.983321487903595
9,3,0.6372600197792053
10,0,0.4649628698825836
10,3,1.0428814888000488
10,4,0.7343835830688477
10,9,0.634712278842926
10,7,0.47087106108665466
