round,loss
1,1.63033130569458
2,1.240943282699585
3,1.2095857213974
4,1.4562186351776123
5,1.3798239910125731
6,1.6344498394012452
7,1.6407970687866211
8,1.6157160949707032
9,1.7363715976715088
10,1.7012480579376221
