round,client,mse
2,8,0.8890135288238525
2,7,0.6573821306228638
2,7,0.9843155741691589
2,7,0.2980046272277832
2,7,0.7069585919380188
3,8,0.41949328780174255
3,7,0.8447990417480469
3,7,0.545440137386322
3,4,0.32803449034690857
3,5,0.7072234153747559
4,7,1.3863563537597656
4,5,0.7837634086608887
4,7,1.0637506246566772
4,5,0.688378095626831
4,7,0.8671066761016846
5,5,0.9872973561286926
5,7,0.8039892315864563
5,7,0.4372781813144684
5,5,0.561674952507019
5,8,0.9033015370368958
6,8,0.7006345391273499
6,5,0.4933556616306305
6,7,0.4767719805240631
6,5,0.40094032883644104
6,7,0.6974886059761047
7,7,0.6598713397979736
7,7,0.915427029132843
7,4,0.331384539604187
7,5,0.9074566960334778
7,5,0.8897450566291809
8,7,1.0271857976913452
8,7,0.5320259928703308
8,4,0.5060563087463379
8,8,0.6192273497581482
8,7,1.0291757583618164
9,7,0.8333780169487
9,4,0.6007217764854431
9,7,1.061716914176941
9,5,0.5608376860618591
9,7,0.45494577288627625
10,5,0.5565224289894104
10,7,0.5276691317558289
10,7,0.4632149934768677
10,8,0.8779085278511047
10,5,0.4859398901462555
