round,client,mse
2,0,0.5214869379997253
2,7,0.5887618064880371
2,0,0.7651622891426086
2,6,0.5100744366645813
2,1,0.9010218977928162
3,0,0.5298944115638733
3,0,0.6554873585700989
3,6,0.567559003829956
3,1,1.348341941833496
3,1,0.7649710774421692
4,1,1.1237388849258423
4,1,0.8144683837890625
4,0,0.5252070426940918
4,3,0.44678035378456116
4,7,0.5187137722969055
5,6,1.4244251251220703
5,3,0.46372535824775696
5,7,0.9730027318000793
5,0,0.37778815627098083
5,1,0.5020422339439392
6,0,0.46278834342956543
6,0,0.4910223186016083
6,3,0.3618030846118927
6,7,0.8310955166816711
6,9,0.8492445349693298
7,0,0.3741127550601959
7,6,0.26430270075798035
7,1,0.5721843242645264
7,0,0.3737850487232208
7,0,0.593613862991333
8,1,0.4634312391281128
8,3,0.4174133837223053
8,7,0.7754809260368347
8,0,0.5623631477355957
8,6,0.7178526520729065
9,0,0.6290848851203918
9,9,0.6777324080467224
9,1,0.3055902421474457
9,0,1.3752797842025757
9,3,0.5663182139396667
10,6,0.4007152318954468
10,0,0.8728172779083252
10,9,0.5092997550964355
10,1,0.5710011124610901
10,0,0.5077904462814331
