round,client,mse
2,9,0.5145933032035828
2,5,1.2875947952270508
2,0,0.5303752422332764
2,9,0.7729077339172363
2,3,1.2573193311691284
3,5,0.40768375992774963
3,1,0.6987239718437195
3,3,0.6091325283050537
3,2,0.5973837971687317
3,9,0.6042737364768982
4,0,0.7319361567497253
4,9,0.42588114738464355
4,5,1.0224554538726807
4,9,0.6941807270050049
4,0,0.6365964412689209
5,9,0.8918542861938477
5,0,0.7964098453521729
5,9,0.8010292649269104
5,5,0.4287436306476593
5,9,0.29026198387145996
6,0,0.48395684361457825
6,9,0.2628757655620575
6,1,0.810986340045929
6,9,0.5865604877471924
6,0,0.5078851580619812
7,9,0.42476686835289
7,1,0.584218442440033
7,0,0.40548691153526306
7,5,0.5613769292831421
7,3,0.8619301915168762
8,2,0.45639753341674805
8,5,0.906857967376709
8,9,0.4496333599090576
8,0,0.6215877532958984
8,9,0.6091440320014954
9,0,0.274651437997818
9,9,0.8935919404029846
9,9,0.33539119362831116
9,3,0.9243786931037903
9,1,0.7733128666877747
10,1,0.4292915165424347
10,5,0.39628419280052185
10,9,0.7800942063331604
10,0,0.424691766500473
10,0,0.35414114594459534
