round,client,mse
2,3,0.6351169943809509
2,2,0.46120062470436096
2,2,1.038933277130127
2,6,0.8383827209472656
2,2,1.2309889793395996
3,2,0.8063154816627502
3,8,0.44324949383735657
3,2,0.4949193298816681
3,2,0.5219616889953613
3,3,0.6946125030517578
4,2,0.520614504814148
4,6,0.8197711110115051
4,4,0.7148506045341492
4,1,1.1817045211791992
4,3,0.8366042971611023
5,4,1.0258502960205078
5,3,0.7174408435821533
5,1,0.3756694793701172
5,6,0.6451439261436462
5,8,0.6552112698554993
6,8,0.38241496682167053
6,6,0.6200634837150574
6,2,0.6032685041427612
6,1,0.7281405925750732
6,3,0.4760013520717621
7,8,0.5473228096961975
7,2,0.5974946022033691
7,1,0.6000425219535828
7,4,1.2329436540603638
7,6,0.3133476674556732
8,1,0.7745587229728699
8,4,0.24289123713970184
8,2,0.5378332138061523
8,2,0.7110927700996399
8,2,0.8080704808235168
9,4,0.5069213509559631
9,1,0.9130813479423523
9,2,0.5276997089385986
9,2,0.44737327098846436
9,8,0.304591566324234
10,2,0.32790014147758484
10,1,0.45854854583740234
10,6,0.8565027117729187
10,4,0.5085726380348206
10,2,0.49387025833129883
