round,client,mse
2,3,0.4840598404407501
2,5,0.5745454430580139
2,5,0.6917128562927246
2,7,0.465397447347641
2,1,0.9318461418151855
3,7,1.249677062034607
3,1,0.9925227165222168
3,5,0.4233745038509369
3,5,0.29154324531555176
3,7,0.8990384936332703
4,7,0.3702106475830078
4,8,0.5209925770759583
4,5,0.5791930556297302
4,5,0.7380658984184265
4,1,0.6262040138244629
5,3,0.6361666321754456
5,1,0.47120770812034607
5,7,0.4758869707584381
5,8,0.9002110958099365
5,5,0.7467634677886963
6,7,1.405192255973816
6,7,0.8750348687171936
6,3,0.4970908463001251
6,5,0.8303791880607605
6,7,0.5568291544914246
7,5,1.0605340003967285
7,7,1.1510452032089233
7,5,0.7427577972412109
7,8,0.887866199016571
7,1,0.589002788066864
8,9,0.761752188205719
8,5,0.41205838322639465
8,7,0.9594908356666565
8,5,0.5808630585670471
8,1,0.5007095336914062
9,3,0.6238289475440979
9,5,0.25760793685913086
9,5,0.64423006772995
9,7,1.1989818811416626
9,5,0.6628819108009338
10,7,0.662128746509552
10,5,0.4690041244029999
10,8,0.8949098587036133
10,7,0.6086944937705994
10,1,1.202947974205017
