round,client,mse
2,1,0.9108573794364929
2,4,0.46016576886177063
2,4,0.36356475949287415
2,5,0.6468971967697144
2,4,0.48263511061668396
3,2,0.5201504230499268
3,1,0.4300268590450287
3,4,0.6791853904724121
3,4,0.7790911197662354
3,3,0.5908799767494202
4,8,0.45868411660194397
4,2,0.2814715802669525
4,5,0.5594346523284912
4,4,0.5827750563621521
4,1,0.3198287785053253
5,8,0.46753421425819397
5,4,0.2855052947998047
5,1,0.8098728060722351
5,2,0.4766348898410797
5,7,0.7630069851875305
6,7,1.0004676580429077
6,4,0.4130379855632782
6,1,0.6888110041618347
6,2,0.564761221408844
6,4,0.45778366923332214
7,4,0.3072349727153778
7,5,0.42434701323509216
7,7,0.5553379654884338
7,4,0.4964310824871063
7,2,0.43791231513023376
8,1,0.48303306102752686
8,4,0.5224433541297913
8,8,0.918229877948761
8,3,0.719698965549469
8,4,0.5065134763717651
9,8,1.1143180131912231
9,5,0.5041947960853577
9,3,0.3245601952075958
9,7,0.6782064437866211
9,8,1.2346795797348022
10,4,0.35580313205718994
10,3,0.6249151825904846
10,8,0.8163695335388184
10,5,0.4711531102657318
10,4,0.7588685154914856
