round,loss
1,2.262245621871948
2,3.678501021194458
3,3.0446708572387697
4,2.7944128406524658
5,2.8416792530059816
6,2.4775363037109375
7,3.763666077041626
8,3.421655142211914
9,4.790613011932373
10,5.174758166503906
