round,client,mse
2,7,0.9629785418510437
2,2,0.6643903851509094
2,4,0.5764445662498474
2,1,0.6625986695289612
2,5,0.28989824652671814
3,1,1.123780608177185
3,4,0.6974195837974548
3,7,1.8948670625686646
3,1,1.3920844793319702
3,5,0.6147206425666809
4,2,0.47080421447753906
4,8,0.4458862841129303
4,8,0.6721218228340149
4,1,0.8333072662353516
4,4,0.3799305856227875
5,7,0.7718049883842468
5,2,1.1737343072891235
5,5,0.46006593108177185
5,4,0.32490304112434387
5,8,0.6126037240028381
6,7,0.8114052414894104
6,1,0.4242773950099945
6,8,0.4724865257740021
6,1,0.8918752670288086
6,5,0.4680103361606598
7,1,0.5466758608818054
7,2,0.5637369751930237
7,7,0.3885045349597931
7,4,0.6993368268013
7,8,0.5681391358375549
8,1,0.9239425659179688
8,5,0.40883588790893555
8,2,0.6514461636543274
8,4,0.31403204798698425
8,7,0.6660647988319397
9,1,0.7581865191459656
9,7,0.8043661713600159
9,2,0.5096253752708435
9,7,0.5202188491821289
9,1,0.30518361926078796
10,5,0.506938636302948
10,8,0.5119627118110657
10,1,0.5113822817802429
10,1,0.4494207799434662
10,4,0.5972403883934021
