round,client,mse
2,4,0.4805692136287689
2,8,1.001028299331665
2,2,0.5664372444152832
2,3,0.9589722752571106
2,8,0.9859108924865723
3,4,0.45799341797828674
3,8,0.9747557640075684
3,4,0.8751212954521179
3,5,0.2610715627670288
3,8,0.632308840751648
4,3,0.42308786511421204
4,2,0.807448148727417
4,8,0.5618360638618469
4,8,0.5735887885093689
4,3,0.7009294033050537
5,4,0.4338585436344147
5,8,0.5048220157623291
5,3,0.887438952922821
5,3,0.5901572108268738
5,2,0.8127042651176453
6,8,0.4601778984069824
6,5,0.740509569644928
6,3,0.7486150860786438
6,3,0.38266095519065857
6,4,0.37346795201301575
7,8,0.7772251963615417
7,4,0.8148086667060852
7,3,0.5657194256782532
7,2,0.44340386986732483
7,5,1.110102891921997
8,8,0.873851478099823
8,0,0.7844257354736328
8,8,0.8670247197151184
8,4,0.6598739624023438
8,2,0.45572957396507263
9,4,0.3898685872554779
9,8,0.5595967769622803
9,5,0.9044148921966553
9,3,0.880081832408905
9,2,0.4079786241054535
10,3,1.0095525979995728
10,8,0.8143503069877625
10,5,1.0089703798294067
10,8,0.5255442261695862
10,4,0.5539624691009521
