round,client,mse
2,4,0.7295632362365723
2,1,0.7810527682304382
2,8,0.45558157563209534
2,8,0.6976959705352783
2,7,0.7815268635749817
3,7,0.6977388262748718
3,8,0.40404367446899414
3,1,0.7244136929512024
3,4,0.5302948951721191
3,2,0.36660924553871155
4,8,0.6467288136482239
4,8,1.3165546655654907
4,1,0.6771242022514343
4,2,1.0434900522232056
4,2,0.7453901171684265
5,8,0.7459227442741394
5,2,0.5991762280464172
5,7,0.6344307661056519
5,7,0.7021124362945557
5,4,0.5615621209144592
6,2,0.8201692700386047
6,7,0.6096556782722473
6,7,0.49167466163635254
6,2,0.7553997039794922
6,8,0.48397210240364075
7,2,0.8551279902458191
7,7,0.32906877994537354
7,1,0.8491427898406982
7,2,0.5971575379371643
7,4,0.8058087229728699
8,7,0.8758166432380676
8,7,0.6522061228752136
8,4,1.0900235176086426
8,2,0.3830083906650543
8,8,0.5253002643585205
9,7,0.59353107213974
9,2,0.6472941040992737
9,8,0.34823980927467346
9,8,1.0175408124923706
9,7,0.41350576281547546
10,7,0.5475434064865112
10,8,0.29330262541770935
10,7,0.5772438645362854
10,2,0.6952573657035828
10,4,0.7391929030418396
