round,loss
1,1.586763441467285
2,1.1546387147903443
3,1.1847330530166627
4,1.4408962156295777
5,1.5486656883239747
6,1.926149494934082
7,1.924697507095337
8,1.7995741937637328
9,1.8540969186782836
10,1.9665957620620726
