round,client,mse
2,0,0.5237352848052979
2,9,1.1028589010238647
2,4,0.8446416854858398
2,1,1.4037400484085083
2,8,1.0651521682739258
3,8,1.009583830833435
3,0,0.6234611868858337
3,0,0.9239729046821594
3,1,0.6952410340309143
3,8,0.5857928991317749
4,6,0.3064729869365692
4,8,0.520000696182251
4,9,0.3800239562988281
4,0,0.8405124545097351
4,9,0.39515420794487
5,1,0.9140258431434631
5,6,0.27608761191368103
5,8,0.5430359244346619
5,8,0.7852775454521179
5,4,0.5804073214530945
6,1,0.4934917390346527
6,6,0.4190487563610077
6,4,0.41004571318626404
6,0,0.6355193257331848
6,8,0.9322893023490906
7,9,0.5458189249038696
7,8,0.5116545557975769
7,0,0.6154595017433167
7,9,1.0065960884094238
7,8,0.7955120205879211
8,0,0.8101071715354919
8,2,0.6193382740020752
8,9,0.668660581111908
8,8,0.8483909964561462
8,1,0.6805760860443115
9,9,0.6928930878639221
9,0,0.5356900691986084
9,0,0.8082709908485413
9,8,0.8923935890197754
9,4,0.3907346725463867
10,8,0.9085333943367004
10,1,0.6561962962150574
10,9,0.606368362903595
10,0,0.9298542141914368
10,8,0.4467209577560425
